init_date,em_d01,em_d02,em_d03,em_d04,em_d05,em_d06,em_d07,em_d08,em_d09,em_d10,em_d11,em_d12,em_d13,em_d14,em_d15,es_d01,es_d02,es_d03,es_d04,es_d05,es_d06,es_d07,es_d08,es_d09,es_d10,es_d11,es_d12,es_d13,es_d14,es_d15,hres_d01,hres_d02,hres_d03,hres_d04,hres_d05,hres_d06,hres_d07,hres_d08,hres_d09,hres_d10,hres_d11,hres_d12,hres_d13,hres_d14,hres_d15
2026-07-17,392,392,395,395,397,401,402,389,355,356,361,360,358,356,355,4,5,4,5,5,6,9,18,26,28,26,24,25,25,26,394,389,396,399,399,405,404,356,342,359,,,,,
2026-07-14,370,362,386,384,384,389,394,393,379,365,359,353,353,358,362,3,3,3,5,6,7,6,11,25,32,32,32,28,27,28,371,362,386,383,383,391,400,400,404,401,,,,,
2026-07-15,362,389,390,390,395,398,402,398,386,366,353,350,351,355,357,3,3,4,5,6,6,6,12,21,28,32,31,28,27,27,362,391,393,395,393,400,403,406,406,352,,,,,
2026-07-16,390,391,392,395,397,398,400,400,390,371,367,366,365,363,363,3,4,4,4,5,6,8,9,18,29,33,32,29,28,26,391,395,395,398,400,398,401,407,398,384,,,,,
2026-07-18,392,397,397,397,399,402,402,374,371,376,370,362,361,360,357,5,5,4,4,5,5,9,22,21,20,24,28,27,27,27,391,393,399,396,400,404,407,393,400,399,,,,,
2026-07-19,397,397,398,397,399,405,390,391,387,378,368,364,366,364,362,4,4,4,5,6,7,21,21,20,22,25,28,27,27,26,397,397,397,399,399,411,402,399,386,374,,,,,
2026-07-20,397,396,398,398,403,398,403,396,381,373,367,364,362,360,357,4,4,5,5,6,16,15,16,20,23,25,24,22,22,20,399,397,396,399,405,409,409,397,374,369,,,,,
2026-07-21,395,397,397,403,401,407,403,394,386,372,366,366,366,364,365,4,5,4,5,7,8,11,11,16,25,26,23,23,21,22,395,395,396,407,399,411,406,400,394,381,,,,,
2026-07-22,398,399,403,401,410,403,388,375,360,353,352,355,357,358,357,4,4,4,7,7,12,17,24,26,23,20,19,18,18,17,395,399,403,398,412,404,387,367,342,341,,,,,
2026-07-23,400,403,402,410,393,363,350,340,335,336,338,339,342,344,347,4,5,7,7,12,12,14,15,13,15,16,16,17,17,17,401,404,407,413,388,355,340,337,333,327,,,,,
2026-07-24,403,403,412,395,367,352,334,335,340,338,340,343,345,352,354,4,7,7,11,14,15,12,8,11,11,11,12,14,14,13,404,403,407,395,361,347,328,332,323,323,,,,,
