init_date,em_d01,em_d02,em_d03,em_d04,em_d05,em_d06,em_d07,em_d08,em_d09,em_d10,em_d11,em_d12,em_d13,em_d14,em_d15,es_d01,es_d02,es_d03,es_d04,es_d05,es_d06,es_d07,es_d08,es_d09,es_d10,es_d11,es_d12,es_d13,es_d14,es_d15,hres_d01,hres_d02,hres_d03,hres_d04,hres_d05,hres_d06,hres_d07,hres_d08,hres_d09,hres_d10,hres_d11,hres_d12,hres_d13,hres_d14,hres_d15
2026-07-17,399,396,397,395,397,398,399,403,407,398,387,388,388,386,385,5,4,4,6,6,7,7,7,10,17,19,18,17,17,17,399,396,396,394,398,398,400,405,404,395,,,,,
2026-07-14,401,393,393,399,398,400,398,401,402,399,389,383,380,381,385,5,5,4,6,6,6,7,8,9,15,21,20,20,19,19,401,390,395,402,399,400,399,399,405,409,,,,,
2026-07-15,391,393,396,397,399,400,400,404,406,404,397,384,382,384,386,4,4,5,6,5,7,7,8,9,12,20,24,20,17,17,392,395,395,397,397,398,399,402,406,412,,,,,
2026-07-16,393,401,398,398,395,399,399,402,405,408,400,390,387,389,390,3,5,4,5,6,6,8,8,8,9,15,21,20,18,17,393,403,399,399,396,399,400,398,405,411,,,,,
2026-07-18,397,397,395,395,400,399,402,406,407,402,400,394,389,388,386,4,4,4,6,6,6,6,8,12,14,15,18,18,17,18,398,397,393,395,401,400,402,407,419,414,,,,,
2026-07-19,394,393,396,400,397,400,404,406,405,406,400,394,389,390,390,4,5,5,6,5,7,9,10,12,14,14,16,17,17,17,392,395,394,402,400,404,400,403,409,392,,,,,
2026-07-20,391,395,400,399,397,400,404,408,409,403,398,393,391,388,385,5,5,5,5,7,8,8,10,12,15,17,17,17,15,14,389,395,402,399,399,394,397,409,413,406,,,,,
2026-07-21,393,401,396,396,399,403,412,409,405,404,397,391,388,388,387,4,6,5,6,7,8,9,10,11,12,15,17,14,14,14,393,400,396,394,400,408,413,410,408,413,,,,,
2026-07-22,402,394,392,399,403,412,409,406,402,393,386,381,381,384,385,6,4,6,6,7,8,11,12,13,18,18,15,14,12,13,401,393,389,398,398,406,414,417,414,394,,,,,
2026-07-23,392,393,396,398,405,412,410,399,382,375,374,373,372,372,374,4,5,6,6,7,10,10,11,13,13,14,14,13,13,12,392,390,396,394,403,416,414,394,383,364,,,,,
2026-07-24,390,397,402,408,412,407,393,375,373,374,373,373,373,374,376,5,7,6,7,8,7,12,11,10,9,10,11,11,11,12,387,395,402,411,415,410,390,365,372,365,,,,,
2026-07-25,394,397,404,415,405,395,381,375,377,380,381,380,379,382,383,6,5,6,7,7,11,12,9,9,9,10,13,14,13,13,396,399,403,415,409,399,374,375,381,390,,,,,
2026-07-26,397,405,417,406,392,389,380,372,376,380,383,383,387,388,388,5,5,7,6,10,9,11,10,9,9,10,12,13,13,13,402,407,417,404,396,392,376,375,379,382,,,,,
2026-07-27,406,415,404,394,388,374,367,370,379,382,382,383,386,388,390,5,6,5,6,6,7,6,8,8,8,10,10,10,11,10,406,419,405,395,383,370,362,364,381,379,,,,,
2026-07-28,413,406,396,389,379,370,375,386,388,387,387,389,392,392,393,6,5,5,5,7,7,6,8,8,7,9,11,11,12,10,415,407,398,391,378,368,375,387,385,389,,,,,
2026-07-29,402,397,389,376,367,375,387,391,390,388,390,394,394,390,388,5,3,4,5,5,6,6,7,7,9,10,10,10,13,15,403,398,390,376,366,374,392,398,394,391,,,,,
2026-07-30,395,387,376,370,379,387,391,394,394,396,396,394,392,388,386,3,3,5,5,5,6,7,8,9,10,11,13,15,14,14,396,387,377,370,381,387,392,394,402,397,,,,,
2026-07-31,383,372,374,384,387,390,394,397,400,395,391,391,388,386,385,4,4,3,4,6,5,6,7,9,10,12,11,12,13,14,386,372,375,384,390,386,390,398,402,399,,,,,
2026-08-01,370,375,385,385,388,390,397,396,391,388,390,390,390,386,385,3,3,4,6,5,5,7,8,8,9,10,11,11,13,14,370,377,386,383,386,387,397,401,395,385,,,,,
2026-08-02,373,384,382,385,390,399,399,396,392,392,393,391,391,391,391,3,4,6,4,4,8,8,8,10,9,10,11,11,11,11,375,386,381,385,387,394,403,400,395,390,,,,,
2026-08-03,381,383,386,392,397,398,392,384,384,384,384,383,385,386,388,3,5,4,5,7,8,9,8,8,9,10,11,11,12,13,382,381,384,392,398,399,391,383,380,372,,,,,
2026-08-04,381,386,391,400,401,393,385,382,381,382,383,383,384,384,385,4,4,3,5,6,6,6,7,9,9,10,11,11,13,11,379,387,391,401,401,393,387,386,385,383,,,,,
2026-08-05,386,391,399,398,389,383,381,380,378,376,378,381,382,383,386,4,4,5,5,6,6,7,8,9,9,8,8,9,10,11,385,391,398,399,387,387,382,380,376,379,,,,,
2026-08-06,395,399,399,387,380,378,378,375,373,373,377,381,385,385,385,4,5,5,5,5,5,6,6,8,7,7,7,8,10,11,395,402,396,387,381,379,381,377,373,375,,,,,
2026-08-07,399,396,384,377,379,379,374,373,377,381,383,384,386,384,384,5,5,5,5,5,6,6,6,6,7,8,9,9,15,17,402,398,384,379,383,383,376,372,376,388,,,,,
2026-08-08,394,384,376,379,380,375,371,376,383,388,388,383,379,378,378,6,3,3,4,5,6,8,7,7,9,10,14,18,18,19,393,385,378,380,381,376,374,377,385,392,,,,,
2026-08-09,385,377,376,379,375,374,378,383,388,390,385,380,380,383,384,4,4,4,5,5,7,8,7,8,9,13,17,16,16,15,387,378,379,380,377,374,376,378,389,393,,,,,
2026-08-10,374,375,375,375,375,379,382,387,387,384,382,379,380,380,382,4,3,4,5,7,8,8,8,11,14,16,19,17,15,14,377,376,378,375,375,383,377,379,378,364,,,,,
2026-08-11,375,377,374,378,382,383,384,380,378,377,377,378,380,381,383,3,3,4,6,8,9,12,21,19,19,19,17,16,16,15,375,379,375,378,381,378,381,376,370,371,,,,,
2026-08-12,375,372,375,379,386,385,386,384,381,382,382,382,383,385,384,4,3,4,5,7,7,10,13,14,13,15,16,17,18,17,376,372,374,380,387,385,389,383,384,385,,,,,
2026-08-13,370,376,381,388,386,390,390,385,380,382,384,385,386,387,384,3,3,4,7,8,10,10,15,16,17,17,17,15,14,16,372,377,382,388,382,392,397,392,399,393,,,,,
2026-08-14,375,384,392,398,401,394,386,380,380,386,387,387,385,385,387,3,4,6,8,8,8,9,12,13,12,12,11,13,12,11,376,385,394,405,404,392,391,387,385,395,,,,,
2026-08-15,379,385,396,406,402,395,392,395,396,394,391,386,383,383,382,5,6,6,7,6,9,9,11,11,11,13,13,13,14,14,378,386,400,405,402,396,399,401,400,395,,,,,
2026-08-16,386,394,403,400,397,396,398,399,398,394,389,388,387,386,385,5,6,6,4,6,7,8,8,9,9,10,10,13,13,12,389,389,403,399,396,396,397,401,399,397,,,,,
2026-08-17,389,400,395,393,394,397,398,398,392,382,384,387,386,384,383,5,4,5,5,6,7,8,8,9,10,10,13,15,17,18,390,401,394,389,393,403,400,399,393,372,,,,,
2026-08-18,401,396,393,395,397,398,396,395,388,382,387,384,381,382,380,4,5,4,5,6,6,8,9,10,10,10,10,12,12,13,400,394,394,394,398,394,389,395,386,384,,,,,
