init_date,em_d01,em_d02,em_d03,em_d04,em_d05,em_d06,em_d07,em_d08,em_d09,em_d10,em_d11,em_d12,em_d13,em_d14,em_d15,es_d01,es_d02,es_d03,es_d04,es_d05,es_d06,es_d07,es_d08,es_d09,es_d10,es_d11,es_d12,es_d13,es_d14,es_d15,hres_d01,hres_d02,hres_d03,hres_d04,hres_d05,hres_d06,hres_d07,hres_d08,hres_d09,hres_d10,hres_d11,hres_d12,hres_d13,hres_d14,hres_d15
2026-07-17,181,188,184,175,174,169,159,155,158,161,161,159,156,155,154,7,5,5,9,6,8,14,13,10,11,13,15,17,18,18,180,190,184,168,168,161,149,139,147,156,,,,,
2026-07-14,148,166,181,181,184,182,175,172,169,170,169,163,160,162,164,6,14,9,9,7,9,10,10,10,15,15,14,15,15,15,147,162,179,180,184,179,169,168,165,180,,,,,
2026-07-15,160,184,182,185,180,171,166,167,166,166,162,161,163,162,163,14,7,8,7,8,8,8,9,10,12,13,13,13,15,17,157,186,176,187,180,163,165,168,164,161,,,,,
2026-07-16,187,177,186,184,173,170,169,166,159,159,162,164,163,162,159,4,10,5,6,10,9,9,12,14,12,11,14,16,17,17,188,173,190,183,165,171,165,167,154,164,,,,,
2026-07-18,187,185,175,175,169,160,151,156,157,159,157,153,150,149,150,4,4,6,6,6,10,10,10,10,11,14,20,21,18,16,187,185,172,177,169,162,153,160,161,173,,,,,
2026-07-19,182,172,175,170,156,143,150,155,159,156,146,144,147,151,153,5,6,6,6,8,9,10,9,13,17,17,18,17,13,15,185,170,175,168,157,139,148,147,138,144,,,,,
2026-07-20,167,171,166,151,138,145,152,155,156,148,147,150,154,157,158,5,5,6,7,7,9,8,10,15,18,18,17,17,17,17,167,173,164,151,136,143,153,156,165,167,,,,,
2026-07-21,172,165,151,135,145,154,155,152,144,146,148,150,154,157,156,4,5,6,6,8,8,8,14,18,17,15,14,16,17,17,172,167,152,134,143,156,148,136,136,142,,,,,
2026-07-22,167,154,135,143,154,158,161,145,143,146,153,158,159,159,159,4,5,7,8,8,8,12,20,18,18,16,13,12,14,14,167,156,132,138,156,167,162,125,137,156,,,,,
2026-07-23,155,136,142,158,157,160,149,141,143,152,157,157,157,156,155,5,5,6,7,8,9,18,15,16,15,14,15,15,17,16,156,136,142,163,154,153,145,147,149,154,,,,,
2026-07-24,132,144,156,155,154,152,152,155,157,159,161,158,157,155,158,4,5,6,7,8,11,14,11,10,11,13,15,16,15,15,133,144,156,157,152,155,161,163,161,151,,,,,
2026-07-25,145,158,154,156,154,151,154,157,161,162,159,156,157,160,163,5,5,6,6,9,10,12,11,11,13,16,15,16,17,17,143,156,153,158,158,153,148,145,157,173,,,,,
2026-07-26,157,155,160,152,148,156,159,162,163,161,159,160,162,167,171,4,5,6,8,8,10,9,9,11,11,12,14,17,17,18,157,155,159,149,148,152,164,162,145,155,,,,,
