init_date,em_d01,em_d02,em_d03,em_d04,em_d05,em_d06,em_d07,em_d08,em_d09,em_d10,em_d11,em_d12,em_d13,em_d14,em_d15,es_d01,es_d02,es_d03,es_d04,es_d05,es_d06,es_d07,es_d08,es_d09,es_d10,es_d11,es_d12,es_d13,es_d14,es_d15,hres_d01,hres_d02,hres_d03,hres_d04,hres_d05,hres_d06,hres_d07,hres_d08,hres_d09,hres_d10,hres_d11,hres_d12,hres_d13,hres_d14,hres_d15
2026-07-17,170,154,135,129,113,118,98,111,136,145,146,155,162,175,173,9,10,14,10,14,16,13,19,22,26,30,30,31,33,38,172,159,132,141,117,110,88,116,138,164,,,,,
2026-07-14,181,174,181,181,149,132,121,120,131,142,152,161,168,175,172,13,8,11,17,11,16,17,21,27,31,36,33,36,35,37,176,178,182,186,142,125,123,107,118,124,,,,,
2026-07-15,172,179,172,146,128,122,109,111,109,125,153,154,154,156,162,8,10,15,9,14,14,15,17,20,28,27,30,32,33,33,177,179,179,147,122,132,113,108,100,115,,,,,
2026-07-16,188,177,153,136,123,110,117,106,123,148,157,154,161,163,165,6,13,9,15,13,16,18,18,24,26,28,30,32,31,33,190,183,154,145,133,105,107,96,133,163,,,,,
2026-07-18,160,131,131,125,132,102,106,136,149,155,161,163,163,161,165,7,9,8,10,13,15,16,19,23,28,33,37,37,34,33,164,136,135,129,134,102,120,151,147,151,,,,,
2026-07-19,130,134,128,130,112,115,156,156,156,153,150,151,159,167,169,7,8,9,11,15,16,21,21,28,34,35,39,39,36,34,130,137,130,131,114,124,171,179,171,131,,,,,
2026-07-20,134,125,121,114,118,162,139,141,156,162,160,169,181,187,189,8,8,8,14,16,16,19,25,32,35,30,32,30,31,30,125,120,119,116,107,162,125,131,151,180,,,,,
2026-07-21,125,119,109,111,163,140,152,167,177,169,165,163,171,175,180,6,8,12,10,12,20,20,22,25,27,28,31,31,33,33,122,116,117,117,166,131,119,137,179,181,,,,,
2026-07-22,119,113,116,168,150,149,165,189,188,182,187,190,197,201,205,6,10,9,9,18,21,23,21,22,23,27,33,34,32,34,120,117,119,172,143,136,138,180,191,197,,,,,
2026-07-23,110,119,168,147,135,148,183,192,199,206,216,218,212,208,201,8,6,7,11,14,16,16,16,19,21,22,28,33,34,38,111,119,168,147,134,147,187,188,207,209,,,,,
2026-07-24,115,174,152,149,166,201,209,219,220,228,223,222,222,215,203,4,6,12,12,11,11,12,16,23,21,31,33,30,37,40,115,174,158,149,163,204,219,238,232,243,,,,,
