init_date,em_d01,em_d02,em_d03,em_d04,em_d05,em_d06,em_d07,em_d08,em_d09,em_d10,em_d11,em_d12,em_d13,em_d14,em_d15,es_d01,es_d02,es_d03,es_d04,es_d05,es_d06,es_d07,es_d08,es_d09,es_d10,es_d11,es_d12,es_d13,es_d14,es_d15,hres_d01,hres_d02,hres_d03,hres_d04,hres_d05,hres_d06,hres_d07,hres_d08,hres_d09,hres_d10,hres_d11,hres_d12,hres_d13,hres_d14,hres_d15
2026-07-17,-336,-272,-214,-193,-230,-268,-285,-272,-286,-295,-303,-316,-324,-321,-324,12,26,48,40,33,37,39,44,49,47,46,50,58,61,61,-333,-278,-223,-213,-251,-296,-335,-338,-358,-377,,,,,
2026-07-14,-324,-346,-382,-367,-329,-304,-259,-261,-277,-282,-280,-299,-297,-299,-306,12,16,12,30,47,61,67,60,58,53,49,47,57,66,72,-328,-343,-384,-382,-328,-324,-211,-248,-266,-292,,,,,
2026-07-15,-335,-379,-342,-298,-235,-184,-206,-225,-238,-236,-243,-263,-281,-289,-283,9,8,26,44,64,49,45,51,50,56,60,65,70,65,75,-337,-379,-339,-302,-210,-144,-117,-122,-191,-236,,,,,
2026-07-16,-378,-334,-266,-201,-182,-218,-242,-257,-261,-277,-291,-292,-307,-310,-308,6,17,28,43,39,51,62,58,57,58,63,63,64,59,60,-377,-336,-264,-190,-151,-257,-297,-324,-296,-288,,,,,
2026-07-18,-265,-206,-182,-206,-229,-264,-251,-284,-281,-288,-300,-315,-326,-323,-330,13,27,27,40,42,40,44,47,54,63,59,58,54,57,57,-267,-209,-169,-211,-250,-276,-247,-288,-306,-319,,,,,
2026-07-19,-217,-180,-227,-261,-297,-304,-338,-333,-333,-324,-324,-330,-330,-332,-331,18,20,22,28,33,36,31,41,47,57,53,57,59,67,74,-218,-182,-225,-273,-328,-309,-347,-371,-390,-365,,,,,
2026-07-20,-157,-216,-263,-307,-333,-363,-365,-361,-368,-374,-375,-366,-354,-341,-333,18,14,11,21,23,19,28,28,33,38,35,40,50,61,71,-157,-216,-271,-307,-343,-376,-386,-341,-298,-281,,,,,
2026-07-21,-217,-260,-310,-328,-357,-356,-352,-356,-368,-356,-351,-338,-329,-318,-308,11,8,13,20,22,36,37,37,34,47,56,70,76,78,79,-218,-265,-318,-338,-358,-365,-357,-358,-370,-395,,,,,
2026-07-22,-251,-303,-318,-338,-332,-348,-351,-354,-342,-329,-329,-312,-295,-291,-284,7,11,16,19,32,32,38,47,60,67,68,77,76,79,74,-254,-308,-320,-327,-366,-370,-389,-408,-406,-315,,,,,
2026-07-23,-291,-306,-340,-357,-376,-370,-351,-339,-314,-290,-278,-268,-273,-292,-308,11,14,12,18,20,30,44,65,73,74,74,76,82,74,70,-294,-302,-343,-381,-363,-343,-315,-342,-360,-271,,,,,
2026-07-24,-296,-326,-360,-372,-362,-320,-306,-315,-321,-321,-320,-319,-328,-327,-319,10,9,16,22,32,52,70,75,72,66,68,70,62,70,72,-291,-324,-376,-372,-358,-307,-321,-323,-332,-392,,,,,
2026-07-25,-325,-359,-392,-382,-341,-314,-300,-276,-268,-262,-276,-288,-301,-311,-327,5,11,15,20,44,68,79,80,73,63,58,58,64,66,54,-324,-365,-405,-383,-367,-369,-364,-361,-299,-204,,,,,
2026-07-26,-355,-384,-388,-307,-290,-281,-275,-292,-302,-293,-292,-303,-317,-325,-331,6,13,16,31,46,62,73,72,63,58,59,59,56,61,55,-358,-391,-394,-308,-314,-257,-241,-290,-358,-372,,,,,
2026-07-27,-392,-394,-334,-348,-345,-340,-329,-307,-293,-289,-311,-315,-315,-324,-337,8,10,28,33,38,49,54,60,63,67,61,65,70,60,53,-401,-400,-352,-377,-382,-353,-312,-332,-336,-344,,,,,
2026-07-28,-391,-365,-382,-388,-393,-391,-369,-351,-337,-328,-322,-320,-324,-331,-320,7,16,11,12,13,21,39,56,65,71,70,68,59,52,57,-394,-369,-384,-397,-398,-392,-334,-353,-328,-244,,,,,
2026-07-29,-351,-380,-384,-389,-395,-377,-347,-329,-328,-330,-331,-337,-339,-336,-343,11,12,11,11,17,31,41,55,55,54,47,48,51,55,51,-353,-383,-385,-389,-407,-350,-288,-282,-223,-216,,,,,
