init_date,em_d01,em_d02,em_d03,em_d04,em_d05,em_d06,em_d07,em_d08,em_d09,em_d10,em_d11,em_d12,em_d13,em_d14,em_d15,es_d01,es_d02,es_d03,es_d04,es_d05,es_d06,es_d07,es_d08,es_d09,es_d10,es_d11,es_d12,es_d13,es_d14,es_d15,hres_d01,hres_d02,hres_d03,hres_d04,hres_d05,hres_d06,hres_d07,hres_d08,hres_d09,hres_d10,hres_d11,hres_d12,hres_d13,hres_d14,hres_d15
2026-07-17,263,278,271,267,250,212,213,189,199,224,237,244,251,257,262,7,7,17,13,14,15,19,20,23,21,25,27,25,25,27,265,283,275,272,262,209,215,182,215,231,,,,,
2026-07-14,239,260,258,268,280,262,247,221,210,215,224,234,248,261,268,4,4,13,10,12,18,17,23,27,24,27,28,30,31,29,242,261,260,271,282,257,245,226,222,221,,,,,
2026-07-15,261,256,264,279,259,255,234,210,205,209,224,249,265,273,273,5,12,9,10,14,15,18,23,20,18,22,25,27,31,29,263,264,271,286,240,257,252,203,209,198,,,,,
2026-07-16,260,267,280,272,269,242,216,214,209,224,244,258,266,269,274,7,5,9,14,13,16,14,15,23,23,20,24,27,28,28,262,271,279,280,272,245,213,208,213,232,,,,,
2026-07-18,283,280,270,259,226,231,196,204,227,242,251,258,258,265,267,4,14,11,11,16,12,26,20,18,18,19,19,23,26,26,285,285,275,272,220,236,216,217,231,254,,,,,
2026-07-19,273,268,259,214,225,199,205,232,250,256,258,261,261,263,266,10,10,9,21,12,21,19,22,19,24,25,28,28,27,30,273,273,257,208,219,201,202,239,263,295,,,,,
2026-07-20,261,260,220,225,200,210,246,251,254,260,262,266,268,274,281,8,9,18,9,18,16,20,24,24,19,21,24,26,23,27,264,265,233,231,203,222,262,266,256,262,,,,,
2026-07-21,252,217,221,201,210,245,250,262,267,268,269,274,280,281,282,5,14,7,17,13,14,16,13,15,14,15,21,24,29,32,251,222,219,204,220,246,237,236,232,231,,,,,
2026-07-22,215,221,200,217,247,257,265,263,265,271,280,284,288,289,288,10,6,17,8,9,16,21,21,15,15,13,19,24,25,28,226,226,210,226,251,266,246,240,243,259,,,,,
2026-07-23,217,199,214,245,249,247,240,248,255,265,273,282,284,287,291,4,12,6,9,17,17,16,12,10,12,13,16,22,30,30,218,208,218,249,256,243,241,249,266,266,,,,,
2026-07-24,198,217,248,265,267,253,259,264,271,282,288,296,299,302,304,9,4,6,13,13,11,9,10,12,13,17,18,19,20,22,205,220,249,274,271,258,261,267,279,290,,,,,
2026-07-25,217,242,260,271,256,257,259,264,272,283,295,298,298,295,292,4,5,11,9,10,8,8,10,11,14,14,23,29,33,33,216,241,263,272,254,253,257,264,271,269,,,,,
2026-07-26,247,265,270,260,266,268,271,270,275,286,297,304,300,293,286,4,12,9,8,6,8,9,10,12,14,15,18,26,28,32,247,271,267,256,264,266,268,271,273,280,,,,,
2026-07-27,266,270,262,272,270,269,268,272,283,295,302,300,299,292,285,11,6,5,4,6,8,9,8,11,13,19,20,22,30,35,272,270,261,275,273,270,269,276,276,294,,,,,
2026-07-28,259,256,268,268,265,265,266,281,299,307,305,300,285,274,268,4,4,3,5,7,6,7,11,15,15,21,25,33,35,32,260,256,269,269,264,265,264,264,294,320,,,,,
2026-07-29,257,269,269,269,266,267,276,296,307,305,296,282,272,261,248,3,3,4,6,6,6,8,12,13,17,25,39,43,42,36,258,270,269,268,268,266,272,289,306,315,,,,,
2026-07-30,268,268,263,263,263,276,293,306,311,307,288,266,259,259,260,3,3,5,5,5,7,8,9,10,19,30,36,39,35,32,269,269,265,264,263,273,296,305,312,312,,,,,
2026-07-31,267,263,263,263,276,290,300,306,304,293,277,266,265,264,266,2,4,4,4,5,6,6,10,13,26,29,32,28,27,27,268,265,264,263,278,291,302,313,282,289,,,,,
2026-08-01,259,265,264,279,289,298,306,304,293,279,268,258,258,260,265,3,3,4,5,5,6,7,17,23,33,31,31,29,27,30,259,265,264,279,292,296,307,297,267,270,,,,,
