init_date,em_d01,em_d02,em_d03,em_d04,em_d05,em_d06,em_d07,em_d08,em_d09,em_d10,em_d11,em_d12,em_d13,em_d14,em_d15,es_d01,es_d02,es_d03,es_d04,es_d05,es_d06,es_d07,es_d08,es_d09,es_d10,es_d11,es_d12,es_d13,es_d14,es_d15,hres_d01,hres_d02,hres_d03,hres_d04,hres_d05,hres_d06,hres_d07,hres_d08,hres_d09,hres_d10,hres_d11,hres_d12,hres_d13,hres_d14,hres_d15
2026-07-17,208,214,184,181,189,190,183,201,217,216,211,218,223,225,225,12,9,8,11,9,14,17,21,21,32,32,34,36,41,45,197,210,184,185,186,172,167,186,212,215,,,,,
2026-07-14,279,246,236,205,199,187,189,202,217,228,234,233,224,219,222,10,13,14,15,11,14,16,20,25,30,30,35,32,35,37,284,253,237,199,197,173,180,185,199,199,,,,,
2026-07-15,253,236,197,199,177,177,185,195,203,216,224,213,206,213,214,11,12,13,9,9,12,14,17,24,31,31,32,35,40,40,261,245,202,202,179,177,181,179,191,197,,,,,
2026-07-16,238,206,207,181,177,185,194,193,210,229,215,215,210,213,212,9,14,8,10,10,11,15,17,22,29,26,29,32,34,45,239,202,206,177,172,180,189,189,211,260,,,,,
2026-07-18,209,184,180,193,198,184,194,216,214,212,215,213,209,209,216,7,7,8,8,12,13,16,15,26,29,33,34,37,38,38,211,185,184,194,200,188,210,220,222,198,,,,,
2026-07-19,182,185,193,203,196,210,226,214,204,196,201,204,211,217,217,5,6,7,7,9,15,21,24,24,23,33,40,38,38,39,181,186,193,207,200,221,244,245,179,174,,,,,
2026-07-20,179,185,194,192,211,219,199,201,210,208,212,231,244,240,239,5,6,7,7,12,20,22,23,24,27,31,34,33,34,39,180,186,196,191,217,203,187,205,212,226,,,,,
2026-07-21,185,193,188,210,221,199,199,216,222,215,214,224,226,230,234,4,6,6,7,14,23,16,24,28,25,27,33,38,36,39,185,196,189,215,234,174,187,212,245,251,,,,,
2026-07-22,193,187,211,228,206,200,229,253,243,242,249,252,258,265,256,5,6,6,11,20,14,17,24,27,31,39,38,42,43,40,193,187,216,235,190,194,228,263,275,300,,,,,
2026-07-23,187,210,228,209,201,231,267,276,271,272,275,265,262,262,252,3,4,10,14,10,11,13,25,25,30,36,41,42,39,44,188,211,227,208,202,234,268,291,268,303,,,,,
2026-07-24,208,222,213,202,240,278,282,271,275,272,266,264,266,257,243,4,9,10,8,9,11,27,31,28,38,42,38,39,43,40,208,218,213,205,239,284,306,275,309,322,,,,,
2026-07-25,228,212,199,243,281,301,268,262,265,263,254,250,240,222,216,5,8,9,8,8,18,33,34,35,37,40,37,39,42,39,231,212,200,244,278,319,271,259,272,275,,,,,
2026-07-26,213,196,242,283,302,244,252,271,269,254,239,228,216,215,215,6,8,7,8,14,24,24,32,35,38,41,40,36,36,36,213,197,244,280,311,241,263,294,285,261,,,,,
2026-07-27,197,241,277,274,243,245,264,280,274,251,232,220,218,218,222,5,5,5,22,19,24,25,26,28,31,33,32,32,32,38,195,242,277,272,253,278,296,305,300,249,,,,,
2026-07-28,239,274,260,231,228,251,270,259,252,237,212,207,207,218,220,3,4,19,16,15,17,24,22,24,32,31,33,26,33,39,240,274,265,231,236,271,271,253,239,254,,,,,
2026-07-29,275,258,232,230,251,260,237,227,227,223,208,202,206,211,216,3,14,16,12,15,25,20,22,27,34,29,31,36,36,35,275,257,231,233,260,276,258,250,253,210,,,,,
2026-07-30,256,231,228,248,262,249,249,240,222,210,209,217,220,220,224,9,14,13,14,22,22,23,26,39,34,36,39,33,32,37,259,228,225,247,237,235,257,241,213,192,,,,,
2026-07-31,231,221,248,264,249,248,246,223,207,206,219,232,232,235,231,11,9,9,19,17,17,28,35,38,31,31,34,29,31,34,230,223,244,248,236,242,257,255,218,185,,,,,
2026-08-01,216,240,255,237,233,225,227,221,211,214,225,231,233,222,215,7,6,12,11,10,18,28,30,26,30,34,33,32,31,30,213,235,262,241,237,214,199,223,219,234,,,,,
2026-08-02,252,260,240,229,206,187,196,211,220,221,224,218,214,213,202,7,13,14,9,14,14,21,22,25,30,34,33,34,38,34,250,265,236,231,205,186,193,203,212,254,,,,,
2026-08-03,263,244,229,206,192,213,231,226,224,230,235,228,213,211,214,14,12,7,11,10,19,22,27,29,32,33,32,31,34,34,262,246,233,212,197,231,261,244,241,254,,,,,
2026-08-04,239,226,200,201,232,232,225,239,260,267,250,244,235,220,210,8,6,9,8,15,22,26,27,24,20,27,33,34,33,39,239,228,205,203,230,241,230,246,272,289,,,,,
2026-08-05,228,201,199,233,243,239,253,278,278,251,233,227,212,195,194,6,8,7,11,22,21,23,18,20,26,24,30,36,37,35,229,202,199,234,225,226,252,281,276,251,,,,,
2026-08-06,199,195,230,243,245,252,269,286,268,237,227,210,198,203,200,5,6,9,19,15,16,17,16,21,23,25,31,33,39,40,199,196,231,239,252,265,285,300,250,245,,,,,
2026-08-07,194,225,241,250,253,264,282,285,261,236,216,209,207,199,198,5,5,16,12,15,14,13,15,23,29,31,31,36,38,43,195,226,249,260,259,265,288,293,285,260,,,,,
2026-08-08,227,230,246,248,258,277,284,273,246,228,217,220,225,231,228,5,15,10,11,14,13,12,23,33,32,28,32,37,41,42,228,228,249,249,257,278,286,274,287,231,,,,,
2026-08-09,236,248,253,262,282,285,260,231,208,206,216,223,223,219,211,15,6,8,8,9,10,23,29,23,27,32,35,35,43,47,243,251,256,262,283,287,266,222,188,188,,,,,
2026-08-10,245,251,262,281,288,253,228,214,203,209,216,212,207,202,199,5,5,7,8,9,25,20,25,24,27,31,36,35,31,40,246,251,263,280,289,250,233,202,179,167,,,,,
2026-08-11,250,260,281,286,255,220,203,198,201,197,194,189,186,187,187,3,4,5,7,25,26,23,24,24,33,35,33,32,35,34,250,260,282,290,260,211,203,205,215,199,,,,,
2026-08-12,264,285,283,253,211,203,200,195,193,193,190,189,190,194,185,3,4,11,20,19,22,27,26,28,34,39,36,35,32,31,264,285,276,258,198,195,203,173,171,162,,,,,
2026-08-13,287,272,267,220,201,206,211,214,199,188,182,182,179,178,178,3,14,16,21,17,24,23,31,36,29,29,35,34,31,27,289,280,280,230,214,223,228,225,253,216,,,,,
2026-08-14,282,277,242,217,228,226,214,210,206,198,191,192,187,179,175,11,11,17,15,17,27,36,31,30,32,30,33,36,31,30,280,276,256,226,238,260,249,187,188,193,,,,,
2026-08-15,280,233,217,221,221,202,184,189,192,188,185,186,184,181,179,9,16,10,10,25,30,25,22,33,37,37,35,31,31,31,283,221,221,224,245,198,180,175,187,207,,,,,
2026-08-16,236,216,216,221,192,176,171,168,174,186,183,172,166,170,169,11,7,7,22,16,15,19,23,26,22,24,26,28,28,27,239,216,212,218,188,166,169,177,135,157,,,,,
2026-08-17,220,217,232,204,177,177,182,177,176,186,175,169,166,167,167,6,6,13,17,19,16,22,31,22,27,27,26,26,29,25,214,210,234,211,168,187,186,191,157,175,,,,,
2026-08-18,223,234,200,182,183,189,189,178,185,177,166,164,165,162,161,6,12,12,11,18,21,32,25,20,26,24,21,23,22,23,224,239,204,191,194,191,180,155,170,171,,,,,
