init_date,em_d01,em_d02,em_d03,em_d04,em_d05,em_d06,em_d07,em_d08,em_d09,em_d10,em_d11,em_d12,em_d13,em_d14,em_d15,es_d01,es_d02,es_d03,es_d04,es_d05,es_d06,es_d07,es_d08,es_d09,es_d10,es_d11,es_d12,es_d13,es_d14,es_d15,hres_d01,hres_d02,hres_d03,hres_d04,hres_d05,hres_d06,hres_d07,hres_d08,hres_d09,hres_d10,hres_d11,hres_d12,hres_d13,hres_d14,hres_d15
2026-07-17,271,261,243,218,210,198,196,195,211,229,233,241,252,260,265,7,10,13,10,15,11,18,17,16,22,30,30,30,34,37,273,270,245,228,230,209,213,212,224,239,,,,,
2026-07-14,253,254,263,277,257,235,217,209,209,218,225,238,252,263,269,5,11,9,13,17,12,17,17,17,23,26,30,31,31,32,252,263,260,286,237,237,212,201,198,212,,,,,
2026-07-15,258,261,278,251,237,218,208,199,201,205,227,248,254,259,261,9,9,10,13,12,16,14,13,16,19,21,26,29,31,32,261,268,288,252,242,234,221,212,204,211,,,,,
2026-07-16,258,274,258,241,217,203,197,199,204,224,245,246,254,259,265,11,9,11,12,13,15,12,16,19,20,24,30,32,33,33,266,277,261,241,211,188,188,175,196,233,,,,,
2026-07-18,263,239,226,219,211,206,197,211,231,241,251,254,259,258,259,8,11,10,13,9,18,16,15,15,21,26,32,37,39,37,265,246,237,231,223,217,208,206,236,228,,,,,
2026-07-19,237,222,222,207,211,199,217,237,244,249,251,246,248,255,264,10,10,12,9,13,13,16,20,22,32,36,40,40,38,36,236,225,224,204,214,208,225,263,300,252,,,,,
2026-07-20,220,221,201,207,198,217,236,230,243,252,256,259,269,277,282,9,11,8,12,9,15,19,21,28,33,38,33,33,32,30,222,213,194,204,195,212,228,213,234,261,,,,,
2026-07-21,217,197,202,194,211,229,235,252,266,270,268,268,268,270,274,8,6,10,8,8,16,19,22,23,23,28,31,34,34,32,215,197,207,199,212,232,216,208,220,230,,,,,
2026-07-22,198,205,197,211,237,244,249,266,274,281,281,285,287,288,292,4,8,6,5,16,18,23,26,20,16,22,28,29,32,31,200,209,201,212,230,241,220,214,239,259,,,,,
2026-07-23,205,193,210,245,237,232,243,260,273,284,294,300,301,302,297,7,5,5,12,17,16,18,14,13,13,14,18,25,27,27,206,195,211,255,216,219,225,251,270,289,,,,,
2026-07-24,189,210,246,254,245,255,272,286,296,303,307,309,310,312,306,4,4,11,12,12,12,10,9,10,11,13,16,18,21,31,189,211,254,258,245,250,270,289,308,314,,,,,
2026-07-25,207,248,254,250,263,274,285,291,295,299,303,301,299,294,280,2,10,8,10,9,9,8,9,12,16,21,28,31,33,38,206,254,256,251,262,272,281,289,285,289,,,,,
2026-07-26,248,256,253,269,279,290,295,294,294,300,306,300,286,275,268,7,7,8,7,6,6,7,10,12,14,19,31,39,39,39,251,258,256,270,277,289,295,298,291,292,,,,,
2026-07-27,249,248,265,277,289,296,294,294,299,305,308,298,278,273,269,7,7,7,6,5,6,8,9,12,17,20,26,31,39,37,253,254,269,279,294,298,300,288,297,315,,,,,
2026-07-28,242,260,274,289,295,294,294,303,308,310,304,282,262,256,257,5,4,4,4,5,7,7,9,13,19,26,37,40,38,38,243,260,274,289,293,292,291,296,316,329,,,,,
2026-07-29,251,267,285,293,295,294,299,304,301,292,277,261,243,234,236,3,3,3,4,6,7,10,14,22,33,44,49,41,36,36,252,268,285,293,296,299,301,305,315,308,,,,,
2026-07-30,264,282,289,288,294,299,305,311,310,292,259,251,254,256,262,3,3,3,5,6,8,9,9,19,35,42,41,38,37,34,265,283,289,289,297,300,309,315,327,324,,,,,
2026-07-31,283,289,288,297,302,308,316,315,301,271,258,256,259,267,275,3,3,4,5,6,7,7,14,31,38,34,29,31,29,31,285,290,289,300,303,307,313,321,332,311,,,,,
2026-08-01,287,287,301,302,307,316,308,292,283,260,254,255,256,267,269,3,3,4,6,7,8,17,32,36,31,31,30,32,32,30,288,287,302,304,309,318,311,264,262,259,,,,,
2026-08-02,287,299,302,308,311,287,252,238,244,247,247,246,252,254,251,3,4,5,5,11,20,32,35,34,31,27,27,29,31,37,288,301,304,310,318,307,281,261,257,251,,,,,
2026-08-03,297,297,304,310,287,262,263,273,272,265,259,261,260,253,253,3,3,4,7,16,16,17,20,20,23,29,30,32,36,41,297,299,304,313,268,259,263,278,294,306,,,,,
2026-08-04,291,299,307,284,268,271,281,279,280,280,282,283,278,278,266,3,4,5,12,12,15,16,20,22,24,21,18,27,31,44,293,300,309,290,275,274,277,290,301,306,,,,,
2026-08-05,298,304,289,271,272,280,288,291,290,291,291,279,273,263,247,4,4,13,12,12,13,12,17,20,18,20,27,32,39,43,299,305,297,282,274,279,296,310,302,300,,,,,
2026-08-06,299,286,263,265,274,289,286,272,274,282,281,276,259,247,246,4,12,15,11,11,10,18,22,19,15,21,27,38,44,41,300,282,275,272,276,289,299,276,274,285,,,,,
2026-08-07,287,266,262,272,289,280,256,261,268,272,270,262,261,255,247,10,10,7,7,8,18,15,12,11,13,24,35,37,41,43,289,275,270,272,293,274,248,262,261,264,,,,,
2026-08-08,248,249,263,291,268,248,254,265,269,273,265,251,249,257,258,8,5,6,7,17,11,11,10,11,17,28,34,38,36,35,253,252,265,295,259,246,248,266,272,288,,,,,
2026-08-09,247,262,293,260,243,246,259,269,274,256,248,251,257,265,259,3,3,6,10,6,8,8,8,17,34,38,36,37,35,37,247,261,296,264,244,243,261,267,283,268,,,,,
2026-08-10,265,293,260,243,248,263,269,272,266,247,245,249,245,239,239,3,5,9,4,6,6,7,18,30,37,42,40,37,36,36,266,293,262,245,244,262,274,285,296,289,,,,,
2026-08-11,284,252,240,242,258,264,277,266,247,247,242,240,240,235,232,6,6,5,6,6,6,8,26,34,37,39,37,37,42,43,283,254,242,241,257,263,279,289,265,288,,,,,
2026-08-12,250,237,242,258,265,272,247,238,240,244,244,246,244,240,242,5,4,6,5,5,13,29,37,36,37,36,37,36,42,45,252,239,241,258,266,267,211,241,262,270,,,,,
2026-08-13,232,236,253,259,269,231,237,251,260,257,257,248,240,228,222,3,4,4,4,14,28,34,36,37,39,40,41,43,43,37,233,237,253,259,281,233,255,283,295,294,,,,,
2026-08-14,234,250,258,252,219,243,259,270,275,277,271,262,256,251,241,3,3,3,18,23,28,29,29,26,27,35,42,39,42,40,233,250,259,247,217,252,281,293,293,289,,,,,
2026-08-15,248,256,253,210,234,258,265,263,263,263,248,238,233,232,232,2,3,11,12,22,22,23,28,30,42,44,40,34,35,36,248,257,252,206,234,271,276,267,267,271,,,,,
2026-08-16,255,260,213,242,272,282,277,270,253,238,240,244,235,223,223,3,7,10,13,11,13,21,25,38,34,30,31,32,36,36,256,258,217,251,281,294,298,300,316,271,,,,,
2026-08-17,261,231,249,285,292,288,281,280,252,235,240,240,231,228,229,6,8,11,8,9,16,21,33,45,37,38,39,35,34,40,262,233,245,283,294,295,293,283,270,228,,,,,
2026-08-18,224,255,288,285,268,273,280,277,252,256,247,229,223,220,218,6,8,7,12,14,17,20,37,35,34,40,37,33,33,36,225,254,293,287,278,291,290,262,197,203,,,,,
2026-08-19,258,290,288,265,267,270,254,231,244,253,224,219,221,228,224,6,6,11,13,13,20,30,29,31,40,31,27,29,29,32,256,293,283,263,268,293,280,249,237,256,,,,,
2026-08-20,293,291,259,242,242,249,251,267,278,242,233,238,236,232,228,6,10,13,14,17,22,18,21,26,30,28,22,29,33,34,294,288,261,243,240,260,251,264,274,256,,,,,
