init_date,em_d01,em_d02,em_d03,em_d04,em_d05,em_d06,em_d07,em_d08,em_d09,em_d10,em_d11,em_d12,em_d13,em_d14,em_d15,es_d01,es_d02,es_d03,es_d04,es_d05,es_d06,es_d07,es_d08,es_d09,es_d10,es_d11,es_d12,es_d13,es_d14,es_d15,hres_d01,hres_d02,hres_d03,hres_d04,hres_d05,hres_d06,hres_d07,hres_d08,hres_d09,hres_d10,hres_d11,hres_d12,hres_d13,hres_d14,hres_d15
2026-07-17,230,222,221,225,223,217,212,211,214,216,218,220,225,227,231,6,7,6,8,7,8,8,8,10,11,10,11,10,11,11,233,222,222,228,229,217,209,197,199,205,,,,,
2026-07-14,220,224,226,226,220,221,220,223,223,221,222,224,224,227,228,4,5,7,8,8,9,9,9,9,9,10,11,12,11,11,219,223,223,219,219,210,213,219,220,221,,,,,
2026-07-15,224,227,228,223,223,226,225,221,220,222,223,222,222,224,225,4,6,6,7,7,9,9,9,9,9,9,10,11,11,10,222,225,226,223,223,235,227,228,220,228,,,,,
2026-07-16,223,226,225,225,225,223,216,214,218,222,221,222,223,225,224,5,6,7,7,8,9,8,9,9,9,12,12,11,11,12,219,226,226,225,232,230,212,209,212,219,,,,,
2026-07-18,218,223,225,225,216,210,211,212,214,215,217,221,225,228,229,6,7,7,8,8,8,8,10,9,10,11,11,10,10,11,217,228,228,234,218,210,216,209,209,214,,,,,
2026-07-19,219,229,225,216,209,211,209,211,214,219,224,228,229,230,230,6,6,6,7,7,9,9,8,9,9,9,8,9,9,9,221,230,228,214,207,214,211,202,210,214,,,,,
2026-07-20,229,226,219,213,210,210,212,214,220,224,227,227,228,227,227,5,6,7,7,7,8,8,8,8,9,9,11,9,11,11,231,228,217,213,213,209,210,215,218,220,,,,,
2026-07-21,226,219,214,210,207,212,216,220,225,228,228,228,228,228,228,4,7,6,6,8,9,8,9,9,9,9,11,11,11,11,226,216,213,206,206,212,208,216,225,231,,,,,
2026-07-22,220,211,209,206,211,218,225,229,229,228,228,228,227,226,225,5,7,6,7,7,9,10,9,10,11,9,10,12,12,13,219,211,209,210,208,218,221,235,231,228,,,,,
2026-07-23,213,206,206,210,216,225,228,229,229,230,230,228,229,227,227,6,6,6,7,8,9,8,9,9,10,10,11,10,11,12,210,204,207,207,214,227,232,234,224,230,,,,,
2026-07-24,207,203,209,215,224,229,230,229,228,228,226,226,225,227,228,4,5,5,6,8,7,7,9,11,11,11,11,12,11,11,208,206,210,212,225,237,232,226,232,233,,,,,
