init_date,em_d01,em_d02,em_d03,em_d04,em_d05,em_d06,em_d07,em_d08,em_d09,em_d10,em_d11,em_d12,em_d13,em_d14,em_d15,es_d01,es_d02,es_d03,es_d04,es_d05,es_d06,es_d07,es_d08,es_d09,es_d10,es_d11,es_d12,es_d13,es_d14,es_d15,hres_d01,hres_d02,hres_d03,hres_d04,hres_d05,hres_d06,hres_d07,hres_d08,hres_d09,hres_d10,hres_d11,hres_d12,hres_d13,hres_d14,hres_d15
2026-07-17,233,236,257,259,257,250,242,239,239,238,238,240,241,244,247,5,6,4,6,8,13,13,14,14,16,17,15,15,14,16,231,239,258,258,254,250,217,213,221,229,,,,,
2026-07-14,254,267,250,235,232,243,244,238,232,230,232,236,237,239,237,5,5,11,9,12,15,16,15,16,15,16,17,16,17,18,254,271,255,235,231,254,247,246,234,219,,,,,
2026-07-15,270,247,235,239,246,245,245,241,240,241,242,240,242,242,245,5,9,7,9,12,13,12,15,13,14,14,14,14,15,14,270,243,233,239,250,249,254,232,234,228,,,,,
2026-07-16,248,233,232,248,254,254,243,242,242,240,239,237,238,242,242,9,5,7,8,8,11,13,13,12,14,16,17,17,17,18,251,233,239,256,254,262,254,246,226,230,,,,,
2026-07-18,235,254,262,260,260,256,243,236,232,231,235,239,245,248,250,4,5,6,8,8,11,14,16,16,16,16,16,17,18,18,236,254,255,254,263,242,232,232,216,214,,,,,
2026-07-19,255,263,259,262,255,250,244,234,235,239,245,252,256,258,253,3,5,7,7,12,13,14,16,15,14,17,16,16,15,16,254,264,258,267,263,256,237,235,241,222,,,,,
2026-07-20,269,262,266,262,248,236,233,233,233,240,249,255,258,257,254,3,6,6,8,12,15,13,12,13,14,15,16,16,16,17,270,255,267,264,247,234,235,242,224,233,,,,,
2026-07-21,266,269,254,228,216,228,235,234,237,251,258,259,258,256,253,6,5,9,12,13,11,9,12,14,13,12,14,16,16,17,259,266,259,225,218,230,236,238,243,267,,,,,
2026-07-22,268,255,236,222,224,229,233,236,246,253,259,260,259,254,249,4,8,12,13,14,13,12,13,14,12,15,16,17,18,19,268,257,231,218,228,232,251,258,255,259,,,,,
2026-07-23,257,244,240,231,229,230,234,245,254,262,262,259,256,253,248,5,8,10,12,14,13,13,16,16,16,15,15,16,17,17,256,240,235,224,226,221,250,257,254,273,,,,,
