init_date,em_d01,em_d02,em_d03,em_d04,em_d05,em_d06,em_d07,em_d08,em_d09,em_d10,em_d11,em_d12,em_d13,em_d14,em_d15,es_d01,es_d02,es_d03,es_d04,es_d05,es_d06,es_d07,es_d08,es_d09,es_d10,es_d11,es_d12,es_d13,es_d14,es_d15,hres_d01,hres_d02,hres_d03,hres_d04,hres_d05,hres_d06,hres_d07,hres_d08,hres_d09,hres_d10,hres_d11,hres_d12,hres_d13,hres_d14,hres_d15
2026-07-17,262,248,255,253,258,258,261,261,266,270,272,269,268,271,275,9,10,8,10,11,11,12,12,13,11,11,13,12,13,13,259,241,257,249,263,261,269,257,258,271,,,,,
2026-07-14,264,249,259,263,247,247,260,267,268,260,258,262,265,268,270,4,7,10,19,17,14,11,9,10,14,13,13,15,15,14,266,249,262,269,227,253,254,263,271,256,,,,,
2026-07-15,244,261,262,250,251,257,265,266,260,260,267,273,275,273,274,5,7,12,17,10,10,10,12,12,12,12,12,12,13,13,241,261,260,244,251,251,267,266,262,257,,,,,
2026-07-16,259,262,249,254,259,262,260,257,258,265,271,275,275,273,275,7,10,11,9,11,12,12,12,11,13,12,12,12,12,13,262,260,245,254,243,247,259,257,260,270,,,,,
2026-07-18,249,251,253,254,257,259,260,265,269,271,273,274,276,278,279,8,8,11,10,10,11,13,10,10,11,10,10,12,13,14,251,248,258,247,263,255,248,241,260,273,,,,,
2026-07-19,245,252,251,254,250,257,261,265,268,272,274,274,275,274,276,5,10,9,10,11,11,10,10,11,11,11,12,12,13,17,244,253,248,245,234,245,261,267,267,274,,,,,
2026-07-20,252,251,254,253,257,257,258,262,266,271,273,276,279,280,284,8,7,8,11,13,12,12,11,10,6,7,11,11,14,18,253,248,255,254,260,239,258,268,263,274,,,,,
2026-07-21,243,261,256,262,253,255,258,265,270,272,274,276,279,284,283,6,8,9,11,15,13,13,10,7,6,8,9,9,14,16,245,256,256,274,238,237,255,266,269,269,,,,,
2026-07-22,256,256,268,258,252,258,264,268,272,274,277,280,283,285,285,7,9,8,13,15,12,10,7,6,7,10,11,11,15,16,253,256,264,269,263,264,273,274,275,280,,,,,
2026-07-23,263,270,260,258,262,269,271,272,276,278,279,282,282,283,282,7,7,10,14,17,8,5,5,7,7,10,11,13,17,19,261,272,264,267,272,274,272,282,286,287,,,,,
2026-07-24,274,264,264,265,270,270,274,277,279,282,286,288,291,293,293,4,8,12,14,6,5,6,7,8,9,10,13,15,17,20,276,264,272,272,271,273,279,276,284,288,,,,,
