init_date,em_d01,em_d02,em_d03,em_d04,em_d05,em_d06,em_d07,em_d08,em_d09,em_d10,em_d11,em_d12,em_d13,em_d14,em_d15,es_d01,es_d02,es_d03,es_d04,es_d05,es_d06,es_d07,es_d08,es_d09,es_d10,es_d11,es_d12,es_d13,es_d14,es_d15,hres_d01,hres_d02,hres_d03,hres_d04,hres_d05,hres_d06,hres_d07,hres_d08,hres_d09,hres_d10,hres_d11,hres_d12,hres_d13,hres_d14,hres_d15
2026-07-17,239,238,244,249,250,252,252,255,256,256,256,256,257,255,251,5,7,6,8,9,10,10,11,10,10,11,14,15,17,17,240,238,248,250,245,259,253,264,262,263,,,,,
2026-07-14,235,238,238,237,235,241,243,241,242,243,247,249,251,251,253,6,6,6,7,7,8,12,15,13,12,14,12,12,12,12,234,238,239,242,238,249,249,252,257,259,,,,,
2026-07-15,239,239,239,237,244,247,249,252,253,255,255,253,252,253,253,6,7,6,7,9,11,12,12,12,14,11,13,13,13,12,240,238,242,240,250,251,258,261,260,267,,,,,
2026-07-16,239,239,239,245,248,250,251,252,254,255,255,254,257,259,258,6,6,6,7,9,10,10,10,13,12,12,13,14,14,14,238,241,242,248,253,252,252,248,251,259,,,,,
2026-07-18,235,242,245,250,249,251,255,255,251,250,252,251,250,249,248,6,6,8,9,11,11,11,11,13,14,17,15,15,15,15,234,242,249,253,257,251,256,264,253,257,,,,,
2026-07-19,243,248,255,255,259,261,256,251,256,260,259,256,253,253,251,6,8,9,13,13,14,11,11,11,14,14,14,15,16,16,243,247,254,254,268,267,263,257,264,268,,,,,
2026-07-20,248,254,253,259,260,258,254,259,262,261,259,258,256,255,249,6,9,10,11,11,8,9,11,13,14,14,15,15,17,18,250,251,253,261,257,261,253,264,276,268,,,,,
2026-07-21,253,252,257,260,257,255,254,257,260,259,259,263,264,263,256,8,9,9,9,7,8,9,10,11,12,11,13,13,13,13,252,251,257,263,258,261,257,263,264,262,,,,,
2026-07-22,257,262,260,255,251,256,260,262,262,262,265,264,261,255,249,8,8,8,7,7,8,9,9,8,10,12,13,14,14,15,256,263,260,252,250,256,254,252,260,267,,,,,
2026-07-23,259,257,254,246,251,255,258,260,263,267,266,262,256,249,246,7,7,6,7,9,10,10,10,9,10,10,10,13,16,16,260,258,253,244,250,252,258,263,268,270,,,,,
2026-07-24,255,252,247,249,256,260,262,261,265,267,265,257,250,243,241,7,6,7,8,8,8,9,8,10,11,12,14,14,15,15,254,255,244,250,257,263,263,264,263,268,,,,,
