init_date,em_d01,em_d02,em_d03,em_d04,em_d05,em_d06,em_d07,em_d08,em_d09,em_d10,em_d11,em_d12,em_d13,em_d14,em_d15,es_d01,es_d02,es_d03,es_d04,es_d05,es_d06,es_d07,es_d08,es_d09,es_d10,es_d11,es_d12,es_d13,es_d14,es_d15,hres_d01,hres_d02,hres_d03,hres_d04,hres_d05,hres_d06,hres_d07,hres_d08,hres_d09,hres_d10,hres_d11,hres_d12,hres_d13,hres_d14,hres_d15
2026-07-17,190,197,222,240,231,240,222,222,218,203,203,210,216,218,216,5,5,5,7,9,14,17,28,41,26,22,23,23,24,23,188,197,224,245,234,244,241,235,221,190,,,,,
2026-07-14,201,190,196,189,197,224,243,243,227,193,189,196,198,202,210,4,5,4,4,7,9,10,18,27,30,27,33,28,28,29,202,190,197,191,201,231,250,259,228,182,,,,,
2026-07-15,192,199,190,201,232,248,244,239,209,200,193,196,200,208,219,5,4,5,6,7,9,12,23,29,26,32,25,25,27,26,193,200,190,205,232,245,231,243,224,200,,,,,
2026-07-16,198,190,200,227,241,233,229,195,192,186,189,199,207,212,221,3,5,6,7,7,10,21,16,25,33,23,23,21,22,24,198,191,204,229,239,229,246,199,158,135,,,,,
2026-07-18,195,220,242,235,236,214,216,221,203,203,209,216,221,229,235,4,4,5,7,10,12,18,31,23,18,23,25,23,25,27,195,220,243,235,237,222,222,209,201,208,,,,,
2026-07-19,216,240,230,227,210,202,203,190,198,209,222,230,233,236,241,3,3,6,9,13,11,31,25,18,24,27,24,24,25,28,217,241,229,225,215,199,182,174,168,178,,,,,
2026-07-20,238,227,222,222,205,186,182,203,226,222,219,222,227,233,233,3,5,7,10,13,28,14,16,25,24,20,22,20,20,21,239,228,222,226,206,186,173,194,236,213,,,,,
2026-07-21,229,220,221,203,177,171,197,219,203,203,216,227,231,234,228,4,6,9,10,22,12,14,23,18,17,20,21,22,21,20,230,218,223,202,170,158,201,235,207,191,,,,,
2026-07-22,219,219,207,177,167,192,209,192,189,199,211,217,219,217,217,3,7,8,20,10,12,22,15,17,24,25,21,18,18,19,219,221,212,169,167,197,219,208,190,189,,,,,
2026-07-23,217,206,172,164,189,221,199,176,177,188,201,208,209,212,213,5,7,19,9,9,13,14,16,18,20,20,20,21,21,21,220,207,171,157,184,217,198,173,173,181,,,,,
2026-07-24,203,167,160,184,208,183,166,171,185,199,207,210,209,208,210,5,11,9,9,12,10,10,16,22,21,20,21,25,23,24,203,167,161,179,209,185,170,163,172,171,,,,,
2026-07-25,163,160,186,207,181,163,171,191,213,226,230,228,220,213,217,8,7,7,9,8,9,14,19,21,25,26,27,27,25,25,161,160,186,207,183,158,169,198,223,256,,,,,
2026-07-26,158,183,207,177,156,159,168,187,210,227,230,222,219,222,227,5,6,6,7,6,7,10,14,19,21,24,26,26,25,25,159,184,208,175,155,157,164,172,194,216,,,,,
2026-07-27,182,205,171,154,158,170,188,204,214,212,206,205,212,218,219,4,4,7,6,6,9,12,13,15,19,22,19,20,19,20,183,205,172,155,157,165,186,201,224,225,,,,,
2026-07-28,204,168,153,157,175,199,217,231,223,210,208,216,226,225,220,4,6,5,5,8,9,13,15,15,15,14,17,20,22,24,205,167,154,157,173,197,209,235,234,201,,,,,
2026-07-29,164,150,155,172,201,220,238,233,215,210,213,223,231,230,225,5,5,5,6,8,11,11,13,12,11,14,20,22,26,31,165,151,154,171,200,217,246,233,223,209,,,,,
2026-07-30,148,156,176,206,227,236,228,213,210,215,224,230,223,217,214,7,7,7,8,11,10,12,11,10,11,17,22,29,27,29,151,158,175,203,226,237,230,218,214,205,,,,,
2026-07-31,153,173,207,229,232,226,214,213,219,221,221,218,214,210,211,6,6,6,8,8,8,9,9,14,17,22,23,26,26,27,155,173,207,230,232,226,210,206,207,224,,,,,
2026-08-01,176,208,228,226,225,214,217,218,212,209,214,215,211,207,206,5,4,5,6,7,9,10,12,10,12,17,22,27,28,25,175,207,229,227,225,210,218,216,209,192,,,,,
2026-08-02,205,232,226,224,222,239,238,225,216,211,215,217,217,215,216,4,4,5,7,10,11,11,12,16,20,22,24,26,28,27,205,233,227,228,223,241,239,225,217,217,,,,,
2026-08-03,228,223,218,216,231,240,225,214,209,210,209,209,210,212,215,3,4,5,7,10,9,9,8,12,16,19,18,21,22,25,229,225,216,216,230,233,222,208,201,195,,,,,
2026-08-04,225,220,221,236,241,225,212,209,205,201,203,207,209,210,213,3,4,7,7,7,8,8,9,13,14,15,18,18,20,20,227,220,222,238,241,227,212,210,201,198,,,,,
