init_date,em_d01,em_d02,em_d03,em_d04,em_d05,em_d06,em_d07,em_d08,em_d09,em_d10,em_d11,em_d12,em_d13,em_d14,em_d15,es_d01,es_d02,es_d03,es_d04,es_d05,es_d06,es_d07,es_d08,es_d09,es_d10,es_d11,es_d12,es_d13,es_d14,es_d15,hres_d01,hres_d02,hres_d03,hres_d04,hres_d05,hres_d06,hres_d07,hres_d08,hres_d09,hres_d10,hres_d11,hres_d12,hres_d13,hres_d14,hres_d15
2026-07-17,262,267,278,282,284,275,251,236,222,228,247,263,274,279,282,3,3,4,5,5,10,11,24,23,14,14,14,15,16,16,264,267,278,283,288,282,261,243,164,199,,,,,
2026-07-14,235,245,260,262,267,277,284,277,256,237,234,246,255,266,277,3,4,4,5,5,6,6,11,19,21,21,23,20,22,24,235,245,260,264,270,282,288,280,259,239,,,,,
2026-07-15,244,262,265,269,281,287,283,264,241,230,229,245,263,276,283,3,3,4,5,5,6,9,17,19,19,22,19,20,22,23,244,262,266,269,281,284,284,276,260,244,,,,,
2026-07-16,259,265,269,278,283,283,263,236,225,224,239,257,270,279,286,3,4,4,4,6,8,14,11,19,20,17,15,15,15,15,258,265,271,279,286,286,276,234,194,205,,,,,
2026-07-18,263,276,281,286,274,250,245,224,226,243,261,270,278,282,284,2,3,4,4,8,9,13,21,16,19,18,17,17,18,21,263,276,282,289,275,249,246,237,240,253,,,,,
2026-07-19,273,278,282,272,246,239,215,221,247,269,279,282,283,287,287,2,3,4,8,9,11,20,17,20,19,14,13,15,15,17,273,278,284,274,245,240,210,222,243,260,,,,,
2026-07-20,274,277,277,255,232,212,231,268,283,284,287,288,288,286,285,3,4,6,8,9,14,10,15,17,16,14,14,15,18,16,275,278,280,257,231,195,224,271,289,289,,,,,
2026-07-21,272,276,255,232,202,221,257,273,278,280,283,285,287,287,286,3,4,7,7,14,10,16,13,13,12,11,11,13,16,19,272,277,257,233,215,222,258,267,263,267,,,,,
2026-07-22,274,249,228,188,212,248,266,266,266,273,276,279,280,280,278,3,7,5,13,8,12,11,13,12,11,11,11,13,16,17,274,251,229,195,212,250,270,254,257,270,,,,,
2026-07-23,247,225,188,211,250,267,257,257,260,265,272,275,276,276,277,5,4,12,7,10,9,12,10,11,12,13,14,15,18,20,249,226,190,212,249,269,256,261,270,276,,,,,
2026-07-24,223,191,213,252,272,264,259,260,263,267,273,274,274,275,278,3,11,5,8,9,10,7,9,11,13,15,19,21,21,18,223,189,216,253,284,277,265,260,253,253,,,,,
2026-07-25,191,211,251,268,258,255,260,270,276,277,279,281,280,279,279,9,4,6,7,8,9,12,13,14,14,16,17,16,19,21,185,210,251,267,252,255,264,275,279,278,,,,,
2026-07-26,211,252,270,254,255,258,264,272,280,285,286,282,281,282,283,3,4,6,8,7,7,8,9,9,10,12,16,18,17,18,211,253,268,252,255,259,262,266,270,290,,,,,
2026-07-27,250,267,253,255,260,266,275,280,281,283,278,278,281,286,287,3,5,6,5,6,7,7,7,10,11,13,15,17,17,16,248,268,254,256,260,265,270,279,289,295,,,,,
2026-07-28,262,252,252,256,265,277,279,277,277,275,277,282,286,284,281,4,5,5,5,5,6,8,10,11,15,17,19,16,19,22,261,253,254,256,264,279,287,282,269,264,,,,,
2026-07-29,253,253,256,262,275,276,277,277,278,281,286,288,287,281,276,4,5,5,4,4,6,7,9,10,10,10,11,17,24,24,253,254,256,261,276,278,282,282,287,284,,,,,
2026-07-30,255,257,263,275,275,278,278,279,280,285,286,283,276,272,270,3,4,4,4,4,6,8,8,10,10,9,14,20,22,25,256,257,263,277,276,281,281,282,272,282,,,,,
2026-07-31,256,262,272,272,276,278,278,274,273,275,276,275,274,273,270,3,3,3,4,5,7,9,14,14,14,15,17,17,18,20,256,262,272,272,277,278,279,286,282,276,,,,,
2026-08-01,259,271,273,280,283,283,276,275,277,282,281,277,270,266,267,2,2,3,4,5,7,12,11,10,11,14,20,20,22,19,259,272,274,282,286,285,257,271,272,268,,,,,
2026-08-02,270,271,277,284,284,273,274,282,283,279,279,276,273,272,270,2,2,4,5,5,9,9,8,11,15,14,16,17,17,18,270,272,278,284,285,275,276,281,294,273,,,,,
2026-08-03,271,276,285,285,278,281,285,284,282,280,274,270,267,265,264,2,3,4,5,5,6,7,9,11,13,15,15,18,17,21,272,277,286,285,278,280,287,287,291,288,,,,,
2026-08-04,278,288,286,280,284,285,283,284,278,269,264,258,256,257,261,2,3,3,4,6,6,7,8,11,15,17,19,18,19,19,278,289,287,281,288,288,286,290,289,285,,,,,
2026-08-05,288,287,282,285,287,283,286,287,282,273,268,261,262,266,270,3,3,4,4,5,6,6,8,9,13,13,13,12,12,14,290,287,283,286,288,285,287,290,284,283,,,,,
2026-08-06,287,280,282,284,284,286,289,284,271,263,260,262,266,269,269,3,3,4,5,5,4,5,7,9,11,12,9,9,16,18,286,281,282,283,286,285,290,286,275,267,,,,,
2026-08-07,277,278,279,281,286,288,282,267,260,255,255,260,265,267,268,2,4,5,5,4,4,7,8,10,9,10,13,14,16,20,278,279,279,280,286,291,286,270,261,257,,,,,
2026-08-08,276,278,279,285,289,281,267,259,253,252,256,262,264,263,263,3,4,5,4,4,7,9,15,14,11,11,10,14,18,20,277,279,280,286,292,286,270,263,240,250,,,,,
