init_date,em_d01,em_d02,em_d03,em_d04,em_d05,em_d06,em_d07,em_d08,em_d09,em_d10,em_d11,em_d12,em_d13,em_d14,em_d15,es_d01,es_d02,es_d03,es_d04,es_d05,es_d06,es_d07,es_d08,es_d09,es_d10,es_d11,es_d12,es_d13,es_d14,es_d15,hres_d01,hres_d02,hres_d03,hres_d04,hres_d05,hres_d06,hres_d07,hres_d08,hres_d09,hres_d10,hres_d11,hres_d12,hres_d13,hres_d14,hres_d15
2026-07-17,261,265,239,247,243,202,205,219,228,232,238,238,239,241,245,8,6,8,18,21,20,19,20,23,29,36,37,36,31,29,262,259,237,229,234,183,182,210,227,246,,,,,
2026-07-14,271,284,283,276,281,266,259,239,217,214,216,223,226,228,230,6,7,11,14,17,26,22,23,22,22,23,22,27,30,27,269,284,289,285,294,267,291,247,196,212,,,,,
2026-07-15,279,276,267,274,246,251,244,213,209,218,233,238,237,232,222,6,10,13,13,13,19,26,25,19,24,24,31,33,30,28,280,277,269,270,255,268,257,208,191,216,,,,,
2026-07-16,262,266,270,246,253,249,212,211,221,232,237,238,228,226,231,9,8,9,10,15,21,22,20,22,27,28,30,29,34,32,264,262,264,253,261,261,199,214,203,245,,,,,
2026-07-18,264,237,242,246,207,213,230,238,252,255,244,239,243,247,248,7,7,16,16,16,16,21,21,30,33,34,29,29,29,29,266,238,253,258,216,223,241,251,262,274,,,,,
2026-07-19,232,239,247,195,207,229,243,260,261,252,245,244,247,246,247,7,15,11,12,10,17,16,23,34,35,31,31,30,29,33,231,246,254,193,207,235,254,268,261,249,,,,,
2026-07-20,233,235,189,197,211,230,264,256,229,226,236,244,245,243,243,14,9,8,9,11,13,19,34,35,34,31,30,26,27,26,229,241,191,192,209,224,272,225,175,176,,,,,
2026-07-21,229,179,194,205,222,263,263,248,246,244,235,228,229,233,234,7,8,9,10,10,16,30,34,30,28,26,29,29,31,34,230,177,191,206,221,266,276,259,214,214,,,,,
2026-07-22,177,188,206,232,270,281,265,249,249,240,224,221,229,236,231,7,8,10,11,11,21,27,25,24,26,28,28,29,30,36,177,191,208,228,280,297,281,259,271,257,,,,,
2026-07-23,187,204,231,267,281,266,249,249,247,237,230,237,247,246,238,8,8,11,13,15,20,22,24,24,22,28,28,31,33,33,183,208,223,266,295,276,252,249,231,207,,,,,
2026-07-24,201,227,261,281,267,261,258,254,236,233,235,240,240,232,234,6,8,12,14,15,20,25,22,22,22,25,30,30,37,41,201,225,261,288,263,268,274,258,227,217,,,,,
