init_date,em_d01,em_d02,em_d03,em_d04,em_d05,em_d06,em_d07,em_d08,em_d09,em_d10,em_d11,em_d12,em_d13,em_d14,em_d15,es_d01,es_d02,es_d03,es_d04,es_d05,es_d06,es_d07,es_d08,es_d09,es_d10,es_d11,es_d12,es_d13,es_d14,es_d15,hres_d01,hres_d02,hres_d03,hres_d04,hres_d05,hres_d06,hres_d07,hres_d08,hres_d09,hres_d10,hres_d11,hres_d12,hres_d13,hres_d14,hres_d15
2026-07-17,161,166,162,166,155,147,136,137,145,151,149,153,157,162,163,5,8,16,19,18,19,16,16,17,18,19,20,23,23,22,161,167,163,178,158,133,133,144,153,154,,,,,
2026-07-14,183,169,162,165,168,155,144,137,131,132,139,140,139,140,138,5,8,8,9,12,19,21,20,19,20,21,21,20,22,23,184,169,165,167,167,145,142,142,118,115,,,,,
2026-07-15,172,161,163,168,159,144,136,130,134,139,143,143,141,143,145,5,5,7,11,17,18,17,16,18,18,18,20,21,21,21,172,159,162,173,150,152,135,132,139,153,,,,,
2026-07-16,159,162,170,157,158,149,141,136,144,149,149,150,149,150,152,5,6,9,19,18,16,17,17,17,19,20,20,21,21,21,158,160,174,135,152,145,127,129,135,141,,,,,
2026-07-18,166,162,163,158,151,139,146,154,155,154,157,163,168,169,164,7,12,16,16,15,15,15,16,20,20,19,18,20,22,24,165,156,164,163,163,138,144,144,152,150,,,,,
2026-07-19,163,167,153,145,134,144,156,158,158,163,165,169,166,161,159,12,14,12,13,13,15,16,17,19,18,23,19,23,22,23,162,156,149,151,141,140,149,152,165,184,,,,,
2026-07-20,172,159,146,132,153,168,171,166,162,163,162,162,158,152,156,10,12,11,12,13,13,16,21,19,22,22,20,20,22,20,171,166,153,130,155,168,160,168,169,171,,,,,
2026-07-21,167,149,135,158,173,173,169,165,163,159,161,161,162,160,164,11,11,13,10,11,16,17,18,19,20,21,23,22,23,21,165,153,134,159,178,174,174,174,154,149,,,,,
2026-07-22,159,133,158,177,177,170,165,158,154,156,160,160,158,152,153,11,11,9,9,11,15,16,19,19,20,22,23,22,24,25,160,135,158,178,176,182,159,164,152,150,,,,,
2026-07-23,133,161,180,177,168,156,151,149,155,163,164,160,157,156,153,11,6,8,11,15,18,17,18,22,22,22,21,23,24,23,124,159,182,178,167,153,132,153,154,168,,,,,
2026-07-24,165,183,177,170,162,155,156,164,172,174,173,169,168,165,161,6,9,10,17,17,17,19,19,16,20,21,24,27,25,24,163,186,175,150,164,160,161,145,163,138,,,,,
