init_date,em_d01,em_d02,em_d03,em_d04,em_d05,em_d06,em_d07,em_d08,em_d09,em_d10,em_d11,em_d12,em_d13,em_d14,em_d15,es_d01,es_d02,es_d03,es_d04,es_d05,es_d06,es_d07,es_d08,es_d09,es_d10,es_d11,es_d12,es_d13,es_d14,es_d15,hres_d01,hres_d02,hres_d03,hres_d04,hres_d05,hres_d06,hres_d07,hres_d08,hres_d09,hres_d10,hres_d11,hres_d12,hres_d13,hres_d14,hres_d15
2026-07-17,343,369,378,380,337,291,299,313,322,323,322,325,333,339,342,3,4,4,7,17,23,19,18,18,19,21,19,16,16,16,344,369,382,387,348,298,308,329,334,325,,,,,
2026-07-14,314,327,340,360,377,384,377,345,318,321,328,335,344,351,353,5,4,4,6,5,8,18,20,23,20,20,18,19,24,27,315,327,341,362,378,383,390,348,330,337,,,,,
2026-07-15,324,339,358,376,383,382,358,324,319,323,325,328,334,344,350,3,3,5,5,6,12,19,20,19,22,22,21,21,21,20,325,339,359,377,385,391,369,337,338,334,,,,,
2026-07-16,333,349,373,379,380,348,315,322,331,334,333,333,342,349,353,3,4,4,5,9,16,22,16,15,17,23,29,28,23,19,334,349,373,380,389,346,319,325,344,345,,,,,
2026-07-18,368,377,381,326,276,292,310,323,331,336,333,337,343,346,344,4,4,7,17,25,18,18,16,13,15,19,16,15,15,16,369,377,383,323,269,280,301,323,331,330,,,,,
2026-07-19,372,376,314,272,280,299,317,329,333,331,333,338,341,343,346,5,7,15,19,15,14,13,12,14,18,16,14,13,12,11,372,381,320,281,285,304,320,333,336,321,,,,,
2026-07-20,375,303,262,268,281,301,318,331,330,332,332,337,342,346,348,4,13,18,15,14,15,15,15,15,13,11,10,12,13,13,376,313,275,273,286,305,314,337,337,338,,,,,
2026-07-21,290,254,266,286,307,323,337,339,339,339,344,346,345,343,344,14,16,13,13,12,12,10,11,13,12,12,12,13,14,14,295,252,265,285,312,322,343,345,356,353,,,,,
2026-07-22,241,253,271,293,311,329,336,339,341,341,344,345,343,344,344,9,8,7,8,11,13,10,10,10,11,12,13,15,18,14,239,250,270,295,308,334,335,342,354,345,,,,,
2026-07-23,250,268,290,300,320,329,336,338,339,347,355,355,350,342,333,7,5,7,7,10,8,10,9,9,11,13,14,15,22,29,252,269,290,300,319,327,337,341,336,342,,,,,
2026-07-24,261,286,296,318,326,335,339,343,352,356,350,345,340,336,336,6,7,7,10,8,10,8,7,9,17,19,18,20,21,22,262,286,297,322,324,325,335,339,353,364,,,,,
2026-07-25,286,294,318,324,332,338,342,350,348,336,331,332,335,342,344,6,5,8,7,7,7,6,8,13,15,14,15,18,16,16,288,295,320,326,334,340,346,343,343,335,,,,,
2026-07-26,292,316,322,331,336,341,352,356,343,334,332,335,339,339,340,5,7,7,7,6,7,9,10,13,13,14,14,15,18,18,293,320,323,331,337,343,354,361,354,344,,,,,
2026-07-27,313,320,329,334,340,348,353,339,331,330,335,336,332,330,334,6,6,6,6,6,7,9,13,12,11,12,16,22,21,24,314,320,327,333,340,350,360,346,336,322,,,,,
2026-07-28,316,325,329,337,347,353,338,320,315,323,332,334,335,335,338,6,6,6,6,6,7,10,20,18,14,13,17,19,25,22,318,325,330,336,348,357,344,319,316,324,,,,,
2026-07-29,325,325,333,347,352,340,315,308,317,322,329,334,339,340,339,4,5,5,4,6,9,17,18,16,17,16,15,14,16,17,325,323,334,349,353,344,328,327,331,334,,,,,
2026-07-30,323,335,345,350,342,316,309,316,323,328,335,339,341,341,343,5,4,5,6,7,16,17,14,13,13,14,14,16,16,16,323,334,343,350,345,306,305,318,318,326,,,,,
2026-07-31,330,340,348,339,316,307,315,324,322,326,331,336,337,339,338,4,4,6,7,13,10,8,10,14,14,15,17,16,17,16,330,341,348,346,307,306,316,322,326,331,,,,,
2026-08-01,337,344,339,310,299,310,323,320,323,333,340,346,348,345,342,4,6,7,16,11,7,10,14,12,13,14,13,12,14,14,336,343,343,298,298,309,326,315,323,338,,,,,
2026-08-02,340,334,287,290,304,322,319,323,332,337,342,343,343,340,338,5,7,20,12,9,8,9,11,12,10,10,11,12,16,19,339,335,270,284,300,323,327,334,336,344,,,,,
2026-08-03,337,293,289,300,320,318,325,333,338,342,344,344,342,338,335,5,13,9,7,7,10,9,9,10,9,10,12,14,16,20,339,296,294,299,327,319,329,334,339,345,,,,,
2026-08-04,302,289,299,320,321,330,335,335,342,348,344,338,331,325,324,9,8,6,5,7,8,10,12,10,11,15,15,18,23,24,303,288,298,320,323,332,338,338,345,357,,,,,
2026-08-05,280,296,312,317,329,339,342,346,349,347,337,327,320,320,321,6,5,5,7,7,8,7,7,8,11,13,19,25,22,22,282,299,316,321,333,343,344,351,348,354,,,,,
2026-08-06,294,310,315,328,336,339,342,347,343,336,333,329,325,318,309,4,4,5,6,8,7,6,8,12,12,15,19,23,26,26,295,311,318,330,337,342,346,350,357,342,,,,,
2026-08-07,305,313,323,332,336,340,346,344,342,336,316,310,313,310,301,4,6,6,6,6,6,6,9,11,15,19,16,16,23,34,308,315,326,333,337,344,346,353,357,322,,,,,
